scorer,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5
bodyparts,left_ear,left_ear,right_ear,right_ear,left_eye,left_eye,right_eye,right_eye,nose,nose,left_shoulder,left_shoulder,right_shoulder,right_shoulder,lower_neck,lower_neck,left_elbow,left_elbow,right_elbow,right_elbow,left_wrist,left_wrist,right_wrist,right_wrist,left_hip,left_hip,right_hip,right_hip,left_knee,left_knee,right_knee,right_knee,left_ankle,left_ankle,right_ankle,right_ankle,left_ear,left_ear,right_ear,right_ear,left_eye,left_eye,right_eye,right_eye,nose,nose,left_shoulder,left_shoulder,right_shoulder,right_shoulder,lower_neck,lower_neck,left_elbow,left_elbow,right_elbow,right_elbow,left_wrist,left_wrist,right_wrist,right_wrist,left_hip,left_hip,right_hip,right_hip,left_knee,left_knee,right_knee,right_knee,left_ankle,left_ankle,right_ankle,right_ankle,left_ear,left_ear,right_ear,right_ear,left_eye,left_eye,right_eye,right_eye,nose,nose,left_shoulder,left_shoulder,right_shoulder,right_shoulder,lower_neck,lower_neck,left_elbow,left_elbow,right_elbow,right_elbow,left_wrist,left_wrist,right_wrist,right_wrist,left_hip,left_hip,right_hip,right_hip,left_knee,left_knee,right_knee,right_knee,left_ankle,left_ankle,right_ankle,right_ankle,left_ear,left_ear,right_ear,right_ear,left_eye,left_eye,right_eye,right_eye,nose,nose,left_shoulder,left_shoulder,right_shoulder,right_shoulder,lower_neck,lower_neck,left_elbow,left_elbow,right_elbow,right_elbow,left_wrist,left_wrist,right_wrist,right_wrist,left_hip,left_hip,right_hip,right_hip,left_knee,left_knee,right_knee,right_knee,left_ankle,left_ankle,right_ankle,right_ankle,left_ear,left_ear,right_ear,right_ear,left_eye,left_eye,right_eye,right_eye,nose,nose,left_shoulder,left_shoulder,right_shoulder,right_shoulder,lower_neck,lower_neck,left_elbow,left_elbow,right_elbow,right_elbow,left_wrist,left_wrist,right_wrist,right_wrist,left_hip,left_hip,right_hip,right_hip,left_knee,left_knee,right_knee,right_knee,left_ankle,left_ankle,right_ankle,right_ankle
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Bossou2\img022.png,342.77893470646484,137.3612177556896,,,318.2657365484514,175.78731216554866,,,310.3155101188254,191.02524615566517,386.50518006940786,143.32388757790915,,,374.5798404249689,128.08595358779263,365.30457625707186,271.8525481901962,301.04024595092835,248.0018689013182,307.66543464228334,342.07954831855926,246.05117981268182,272.5150670593318,,,,,375.1240301114825,297.77770656211135,,,,,,,534.0577718754298,271.50764086692425,,,487.7344525454756,311.1262692412272,465.1823102401032,311.1262692412272,478.5916921514057,334.8974462658089,560.2670183384303,284.3075054186221,432.2683728214515,274.55522766494755,,,590.7428863186633,389.7540086302283,415.81140411212573,338.55455042343687,482.24879630903365,431.2011890833453,384.11650141268336,364.1542795268326,,,442.6301679347307,404.3824252607402,592.5714383974772,425.71553284690333,400.5734701220092,389.7540086302283,532.2292197966159,464.7246438616016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\Bossou2\img045.png,342.0200889063514,150.27132544721158,,,314.5918077241417,185.37952536044003,300.3291015093927,183.18526286586325,307.46045461676715,200.19079719883328,393.03669190526153,143.68853796348125,,,374.9340263250031,130.52296299602057,367.2541075939844,258.8873189287621,298.68340463846005,223.77911901553364,310.20328273498814,340.0750312281029,270.15799220896196,275.8928532617321,,,,,,,,,,,,,546.5862686983297,291.67551026605184,452.5350900358542,278.6530393743244,503.1780323925718,332.913334756522,474.9626787938291,330.01945233613804,489.4320908957484,356.06439411959286,566.1199750359209,278.6530393743244,442.40650156451056,254.05503880106158,515.4770326792033,258.39586243163734,605.910858316199,405.2603952661186,418.53197159634374,352.44704109411305,480.0269730295008,428.4114546291895,382.35844134154536,401.6430422406388,,,,,581.3128577429362,439.26351370562907,,,524.8821505454508,466.75539669927576,,,748.879230309502,264.89557004917816,670.2806417507429,280.26070766216867,724.6495902274785,280.26070766216867,708.6934857832191,284.98844231231965,721.6947560711342,296.21681210642805,751.2430976345775,307.44518190053657,667.9167744256674,316.3096843695695,,,783.746273354365,352.9496279082392,677.9632105572381,394.90827292832876,793.7927094859358,428.59338231065414,720.5128224085964,416.18307885400793,724.0586233962097,382.4979694716826,,,761.880500597417,405.54567589116834,687.4186798575399,420.9108135041589,716.3760545897144,443.95851992364464,698.0560828203795,452.8230223926777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\Bossou2\img059.png,340.97284201731463,145.06379463203274,,,314.2229801570997,184.91562964827136,301.6669225492437,183.2778830037684,307.1260780309202,200.20126499696562,390.65115690057104,139.6046391503562,,,366.63087278119434,128.6863281870032,363.90129504035605,264.07338413258094,301.6669225492437,234.59394453152774,312.58523351259674,321.39451669018445,266.18241191834625,278.2671883849399,,,,,410.85003218277416,300.64972585981366,,,,,,,558.435378921686,286.5514568283841,465.3938790157729,274.0139497488639,510.92482577824103,324.8238468606037,484.5300740318827,322.8442404796268,498.38731869872083,343.9600418767135,575.591967556819,280.6126376854535,453.5162407299117,255.53762352641309,530.0610207943508,253.55801714543617,594.0682937792698,402.02849571870183,429.10109536453024,344.61991067037246,483.8702052382238,429.0831162587192,392.8083117132875,383.55216949625105,,,454.83597831722955,417.2054779728579,586.1498682553623,440.9607545445804,409.3050315547614,408.62718365529145,523.4623328577612,469.3351126719156,,,712.5863505930233,307.30168031348177,630.3015070463941,324.5934227979183,689.9282052685892,340.692631317911,670.2513948552648,344.2702332112427,683.3692684641477,360.3694417312354,729.8780930774599,341.2888983001329,,,,,764.4615780463329,386.6051889490012,627.9164391175063,396.74172764677434,788.9085243174329,441.4617513134206,635.0716429041697,464.11989663785477,,,,,782.9458544952133,368.71717948234266,683.9655354463696,421.7849409000963,,,703.046078877472,459.3497607800791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\Bossou2\img069.png,337.6613143270165,148.5220106251462,,,309.37970884136024,185.41106125861089,,,305.6908037780138,202.62595155422775,387.4615326821938,145.44792307235747,,,365.328102302115,127.00339775562514,362.868832259884,270.8706952261374,302.61671622522505,232.75200957155724,314.91306643637995,331.73762877135414,266.9573006128759,261.64843256777124,,,,,376.3948174921544,299.76711822235137,,,306.3056212885715,318.21164353908375,,,534.2615991181136,293.3385651313558,444.34718827452,283.7293914534145,495.138534857924,331.77525984312103,467.6837529209489,331.77525984312103,483.47025253470963,354.4254549411255,569.2664460877569,283.0430219049901,447.09266646821754,262.45193545225874,519.1614690527773,256.9609790648637,591.230271637337,394.23488874973947,375.7102334320822,357.8573026832474,483.47025253470963,429.92610526780715,399.7331676269354,347.5617594568817,,,447.77903601664195,418.9441924930171,591.230271637337,442.280757139446,379.1420811742041,397.66673649186134,526.7115340854455,464.24458268902606,377.7693420773553,456.6945176563579,710.7821659582162,307.94061351087606,630.2728729808703,326.6395460733564,690.0055742221269,342.22198987542345,668.7095676926353,349.49379698305466,683.7725967013001,360.92092243790376,730.5199281075011,321.9648129327363,,,,,767.3983784390596,373.9062922729596,616.24867355901,385.3334177278087,794.9273624893779,438.3137266548364,633.3893617412836,457.53207401071904,,,,,788.694384968551,375.98395144656854,676.5007895936689,409.74591301771363,814.1457098452604,428.96426037359623,699.355040503367,458.0514888041213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\Bossou2\img110.png,349.1039758493467,140.97009053964445,,,317.2712692251242,175.863634339273,298.9062461726881,176.4758017743542,305.6400879585813,195.4529922618715,386.44618938930006,137.29708592915722,,,364.40816172637676,129.3389092731016,362.5716594211332,265.2400798611286,,,306.8644228287437,342.9853441164413,262.17620006781596,239.52904758771808,,,,,,,281.15339055533326,256.05756833491057,308.08875769890614,320.3351490184368,271.358711594034,322.1716513236804,457.2502401400858,232.23219726683357,,,422.0042363020772,261.1339204140006,,,414.2501154577153,277.34708217948463,547.4800099653879,252.67487949287857,,,520.6930470485013,241.39615826471578,595.4145751850797,371.80637246534775,421.299316225317,366.16701185126635,503.7749652062572,431.7245789899624,,,,,448.79119921896375,421.85569791532,581.3161736498762,438.068859680804,386.0533123873084,384.4949338470309,523.512727355542,465.5607426744507,393.8074332316703,454.98694152304813,724.12058878604,294.6197441204901,641.7403425222553,303.5398981745305,699.9837013456954,323.47906606003255,682.1433932376146,325.0532108930985,692.1129771803658,340.26994427940264,720.9722991199081,327.67678561487503,634.3943333012809,320.33077639390063,,,745.633901504608,370.1786961076557,635.4437631899916,386.9695743270258,778.6909429989929,433.6692043746489,637.0179080230575,458.3308067593488,691.0635472916551,374.3764156624982,655.3829310754936,380.1482800504067,722.5464439529741,391.6920088262236,674.7973840166403,416.35361121092353,667.4513747956659,438.3916388738468,705.7555657336039,458.85552170370414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\Bossou2\img119.png,348.9630382103155,139.21150045341108,,,319.3192939297167,176.4238602950139,299.7670370637898,178.9467321486819,310.48924244187873,195.34539919752382,386.80611601533536,136.05791063632614,,,364.7309872957405,127.85857711190516,357.7930896981535,267.8779649904784,,,311.1199604052957,343.56412060051804,265.70826703927196,233.8191949659606,,,,,413.2962704788492,298.15242723449427,278.3226263076119,253.3714518318875,309.22780651504473,322.75042780775715,274.53831852710994,321.48899188092315,477.52368192101017,242.3333574569948,,,431.24276379868064,274.85508370511826,,,424.98858567404153,297.995542766283,553.1992372291436,261.0958918309122,,,524.4300178558036,246.08586433177828,595.7276484766896,374.9219336993442,,,495.66079848246363,424.3299408839933,363.07222224011423,423.0791052590655,,,459.3865653595567,418.0757627593542,578.8413675401639,431.2095368210963,406.8514691125881,364.9152486999216,522.5537644184119,464.9820986941476,435.62068848592804,430.58411900863246,713.8817273615232,292.87758450221133,633.1948793272488,301.8427898393529,691.7323965285851,322.4100256127954,673.801985854302,323.4647556524591,686.9861113500984,339.81307126724676,714.936457401187,325.0468507119547,625.8117690496028,318.7184704739724,,,731.2847730159746,371.9823374769901,632.1401492875851,386.22119301245027,761.3445791463905,429.4651246386627,640.050624585063,456.8881056699193,682.7671911914435,379.3654477546361,658.5084002791781,382.5296378736273,710.1901722227002,389.3853831314414,669.0557006758153,417.3357291825299,662.727320437833,438.95769499563613,704.3891570045498,459.5249307690786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
